"Station","stn_eta","grid_eta"
"COTT",0.758096269632025,2.07276481116126
"RUTH",1.82411260945237,2.31090435159752
"CORA",2.26201347832175,2.23794799902654
"ELIZ",0.837100677666561,1.93711456713013
"COCH",1.52336642914655,1.14457469724202
"COEN",1.79098695333523,2.03403682723893
"SCOT",2.70757014295903,2.52655380136503
"HELL",0.661158829054505,1.0446662776254
"NIVE",0.425017481278102,1.2961441043086
"MURR",1.56253306131673,1.26307514079026
"SOUT",0.956031488314626,1.00310353437535
"YARR",2.73821760082526,2.15826581484556
"DOMB",2.20718165432361,2.05826252654523
